Clear Date,Product Code,Symbol,Financial Institutions Long,Financial Institutions Short,Managed Money Long,Managed Money Short,Others Long,Others Short,Physicals Long,Physicals Short,Operators Long,Operators Short,Financial Institutions Long Risk,Financial Institutions Short Risk,Managed Money Long Risk,Managed Money Short Risk,Others Long Risk,Others Short Risk,Physicals Long Risk,Physicals Short Risk,Operators Long Risk,Operators Short Risk,Open Interest
2021-03-26,CPTM,C5TC,15578.0,6857.18,775.0,0.0,0.0,0.0,24456.4,30253.6,0.0,0.0,850.0,570.0,30.0,0.0,0.0,0.0,11782.8,15257.5,0.0,0.0,41870.23
2021-03-26,PTCM,P4TC,34657.28,29562.4,0.0,0.0,0.0,0.0,44325.2,54543.44,0.0,0.0,3715.03,3680.31,0.0,0.0,0.0,0.0,33403.2,48391.94,0.0,0.0,80532.7
2021-03-26,SPTM,S10TC,13271.7,13330.4,0.0,0.0,0.0,0.0,14436.4,12679.15,0.0,0.0,425.0,6215.0,0.0,0.0,0.0,0.0,13501.4,11159.15,0.0,0.0,27847.99
2021-04-01,CPTM,C5TC,10823.56,2835.25,720.0,0.0,0.0,0.0,19490.8,25533.3,0.0,0.0,635.0,585.0,30.0,0.0,0.0,0.0,8284.05,10695.3,0.0,0.0,36214.79
2021-04-01,PTCM,P4TC,27395.8,17622.91,0.0,0.0,5679.5,10748.8,39060.91,44695.1,0.0,0.0,2249.44,4046.1,0.0,0.0,0.0,0.0,28933.91,38981.2,0.0,0.0,72281.48
2021-04-01,SPTM,S10TC,9766.0,12238.94,0.0,0.0,0.0,0.0,13064.2,11696.02,0.0,0.0,365.0,6285.0,0.0,0.0,0.0,0.0,12409.2,10386.02,0.0,0.0,23404.16
2021-04-09,CPTM,C5TC,15878.84,9011.47,0.0,0.0,0.0,0.0,22745.45,28805.0,0.0,0.0,655.0,645.0,0.0,0.0,0.0,0.0,10941.7,13221.5,0.0,0.0,39834.41
2021-04-09,PTCM,P4TC,37149.19,29602.07,0.0,0.0,0.0,0.0,30336.21,42212.09,0.0,0.0,1825.74,4033.89,0.0,0.0,0.0,0.0,19666.31,36317.29,0.0,0.0,68711.69
2021-04-09,SPTM,S10TC,15752.9,14579.4,0.0,0.0,0.0,0.0,9870.4,9683.82,0.0,0.0,385.0,6355.0,0.0,0.0,0.0,0.0,9300.4,8358.82,0.0,0.0,25717.56
2021-04-16,CPTM,C5TC,15669.16,13266.98,730.0,0.0,3749.35,5620.0,24226.8,25762.7,0.0,0.0,751.8,649.62,40.0,0.0,0.0,0.0,11735.45,9201.25,0.0,0.0,44371.43
2021-04-16,PTCM,P4TC,26456.81,29545.65,0.0,0.0,10262.35,6603.0,40875.46,41436.29,0.0,0.0,1803.28,4131.06,0.0,0.0,0.0,0.0,30313.21,35126.59,0.0,0.0,77724.78
2021-04-16,SPTM,S10TC,10143.0,12073.54,0.0,0.0,3967.0,4284.0,12297.6,11881.42,0.0,0.0,480.0,6120.0,0.0,0.0,0.0,0.0,11617.6,10541.42,0.0,0.0,26503.45
2021-04-23,CPTM,C5TC,18574.03,14078.8,0.0,0.0,3877.0,5824.0,25658.7,29513.55,0.0,0.0,961.7,887.84,0.0,0.0,0.0,0.0,12710.9,11209.6,0.0,0.0,48780.8
2021-04-23,PTCM,P4TC,24559.9,31760.01,0.0,0.0,10493.35,6813.0,41649.93,43375.83,0.0,0.0,2064.25,4026.78,0.0,0.0,0.0,0.0,30619.03,36212.33,0.0,0.0,76844.89
2021-04-23,SPTM,S10TC,12863.5,11070.0,0.0,0.0,5569.0,4853.0,12273.8,12250.05,0.0,0.0,550.0,5600.0,0.0,0.0,0.0,0.0,11533.8,11000.05,0.0,0.0,30800.0
2021-04-30,CPTM,C5TC,17350.78,11942.11,0.0,0.0,3543.2,5372.0,23577.05,29642.75,0.0,0.0,728.5,1065.28,0.0,0.0,0.0,0.0,11483.75,11390.4,0.0,0.0,45089.02
2021-04-30,PTCM,P4TC,24299.62,27950.12,0.0,0.0,10221.55,6802.0,41453.53,41180.44,0.0,0.0,2054.05,4548.69,0.0,0.0,0.0,0.0,29158.73,33911.44,0.0,0.0,76103.41
2021-04-30,SPTM,S10TC,10647.3,10533.68,0.0,0.0,5274.05,4963.0,10697.2,11865.63,0.0,0.0,480.0,5125.0,0.0,0.0,0.0,0.0,9982.2,10730.63,0.0,0.0,26729.64
