Clear Date,Product Code,Product Name,Financial Institutions Long,Financial Institutions Short,Managed Money Long,Managed Money Short,Physicals Long,Physicals Short,Others Long,Others Short,Open Interest,Symbol
2023-01-06,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4070.0,5428.0,17957.0,9553.0,56117.0,71111.0,11313.0,3365.0,89457.0,C5TC
2023-01-06,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,3642.0,3385.0,20093.0,10660.0,53702.0,66863.0,14392.0,10921.0,91829.0,P4TC
2023-01-13,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4303.0,5692.0,18144.0,10192.0,60920.0,75409.0,11790.0,3864.0,95157.0,C5TC
2023-01-13,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,3795.0,3489.0,19975.0,11382.0,57342.0,70219.0,15768.0,11790.0,96880.0,P4TC
2023-01-20,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4332.0,5813.0,19762.0,10619.0,64941.0,81523.0,13310.0,4390.0,102345.0,C5TC
2023-01-20,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,3742.0,3420.0,21157.0,12054.0,60009.0,73345.0,15766.0,11855.0,100674.0,P4TC
2023-01-27,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4378.0,5869.0,19154.0,11656.0,67229.0,83598.0,15403.0,5041.0,106164.0,C5TC
2023-01-27,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,3792.0,3378.0,22440.0,12428.0,60715.0,75301.0,16809.0,12649.0,103756.0,P4TC
2023-02-03,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4153.0,5459.0,18589.0,10047.0,63984.0,81000.0,14890.0,5110.0,101616.0,C5TC
2023-02-03,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,3656.0,3274.0,22118.0,10587.0,55671.0,72759.0,16722.0,11547.0,98167.0,P4TC
2023-02-10,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4184.0,5388.0,19333.0,10618.0,66295.0,83704.0,15775.0,5877.0,105587.0,C5TC
2023-02-10,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,3568.0,3177.0,20805.0,12975.0,58853.0,74177.0,19169.0,12066.0,102395.0,P4TC
2023-02-17,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4192.0,5550.0,19563.0,12112.0,68360.0,85185.0,17050.0,6318.0,109165.0,C5TC
2023-02-17,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,3512.0,3214.0,21424.0,13865.0,59799.0,75355.0,20295.0,12596.0,105030.0,P4TC
2023-02-24,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4775.0,6155.0,20911.0,13444.0,71638.0,88076.0,17239.0,6888.0,114563.0,C5TC
2023-02-24,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,2833.0,3232.0,22595.0,13836.0,60756.0,77361.0,20751.0,12506.0,106935.0,P4TC
2023-03-03,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4353.0,5872.0,22158.0,9888.0,67666.0,89073.0,15009.0,4353.0,109186.0,C5TC
2023-03-03,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,2873.0,3254.0,24199.0,10264.0,56028.0,76345.0,17841.0,11078.0,100941.0,P4TC
2023-03-10,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4359.0,6078.0,22599.0,9848.0,70567.0,93865.0,17390.0,5124.0,114915.0,C5TC
2023-03-10,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,3017.0,3428.0,24918.0,10962.0,57598.0,79508.0,19566.0,11201.0,105099.0,P4TC
2023-03-17,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4357.0,5984.0,23528.0,10366.0,73508.0,96762.0,17968.0,6249.0,119361.0,C5TC
2023-03-17,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,2914.0,3321.0,23962.0,11085.0,59455.0,79482.0,19996.0,12439.0,106327.0,P4TC
2023-03-24,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4353.0,5965.0,25338.0,11040.0,74734.0,98833.0,17970.0,6557.0,122395.0,C5TC
2023-03-24,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,2865.0,3259.0,24902.0,12519.0,60662.0,79985.0,19247.0,11913.0,107676.0,P4TC
2023-03-31,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4250.0,5877.0,26368.0,11375.0,77970.0,97913.0,14333.0,7756.0,122921.0,C5TC
2023-03-31,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,2857.0,3277.0,24766.0,12754.0,59432.0,78325.0,19471.0,12170.0,106526.0,P4TC
2023-04-07,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,3859.0,5609.0,25340.0,8197.0,74444.0,93656.0,10998.0,7179.0,114641.0,C5TC
2023-04-07,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,2663.0,3194.0,24495.0,11727.0,56180.0,75344.0,17232.0,10305.0,100570.0,P4TC
2023-04-14,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4026.0,5786.0,26394.0,8844.0,74700.0,94990.0,11772.0,7272.0,116892.0,C5TC
2023-04-14,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,2563.0,3059.0,24723.0,11642.0,55586.0,74659.0,17528.0,11040.0,100400.0,P4TC
2023-04-21,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4502.0,6226.0,27366.0,9850.0,76830.0,96543.0,11743.0,7822.0,120441.0,C5TC
2023-04-21,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,2554.0,3034.0,25222.0,12138.0,55797.0,75630.0,18264.0,11035.0,101837.0,P4TC
2023-04-28,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4442.0,6178.0,26860.0,10330.0,75410.0,94077.0,12108.0,8235.0,118820.0,C5TC
2023-04-28,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,2606.0,2836.0,24274.0,12356.0,56434.0,76368.0,19499.0,11253.0,102813.0,P4TC
2023-05-05,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4112.0,6023.0,25899.0,8984.0,70123.0,88932.0,10543.0,6738.0,110677.0,C5TC
2023-05-05,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,2313.0,2611.0,20609.0,11986.0,56523.0,73959.0,19235.0,10124.0,98680.0,P4TC
2023-05-12,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,4062.0,5925.0,25561.0,9190.0,72312.0,91190.0,11743.0,7373.0,113678.0,C5TC
2023-05-12,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,2376.0,2569.0,19209.0,12691.0,58150.0,75134.0,20508.0,9849.0,100243.0,P4TC
2023-05-19,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures / Option,3991.0,5813.0,25964.0,10533.0,74440.0,92666.0,11699.0,7082.0,116094.0,C5TC
2023-05-19,PVF,SGX Baltic Panamax Time Charter Average Futures / Option,2273.0,2647.0,18515.0,14883.0,62064.0,76846.0,21002.0,9478.0,103854.0,P4TC
